wn,wl,T
1095.290252,9.130000,0.000099
1095.890411,9.125000,0.000022
1096.491228,9.120000,-0.000044
1097.092704,9.115000,-0.000093
1097.694841,9.110000,-0.000109
1098.297639,9.105000,-0.000109
1098.901099,9.100000,-0.000087
1099.505223,9.095000,-0.000049
1100.110011,9.090000,-0.000001
1100.715465,9.085000,0.000055
1101.321586,9.080000,0.000113
1101.928375,9.075000,0.000174
1102.535832,9.070000,0.000238
1103.143960,9.065000,0.000307
1103.752759,9.060000,0.000381
1104.362231,9.055000,0.000460
1104.972376,9.050000,0.000540
1105.583195,9.045000,0.000618
1106.194690,9.040000,0.000686
1106.806862,9.035000,0.000741
1107.419712,9.030000,0.000780
1108.033241,9.025000,0.000804
1108.647450,9.020000,0.000817
1109.262341,9.015000,0.000826
1109.877913,9.010000,0.000835
1110.494170,9.005000,0.000852
1111.111111,9.000000,0.000878
1111.728738,8.995000,0.000917
1112.347052,8.990000,0.000970
1112.966055,8.985000,0.001037
1113.585746,8.980000,0.001121
1114.206128,8.975000,0.001223
1114.827202,8.970000,0.001345
1115.448968,8.965000,0.001487
1116.071429,8.960000,0.001650
1116.694584,8.955000,0.001835
1117.318436,8.950000,0.002042
1117.942985,8.945000,0.002271
1118.568233,8.940000,0.002525
1119.194180,8.935000,0.002804
1119.820829,8.930000,0.003110
1120.448179,8.925000,0.003437
1121.076233,8.920000,0.003779
1121.704992,8.915000,0.004125
1122.334456,8.910000,0.004467
1122.964627,8.905000,0.004798
1123.595506,8.900000,0.005120
1124.227094,8.895000,0.005448
1124.859393,8.890000,0.005801
1125.492403,8.885000,0.006206
1126.126126,8.880000,0.006690
1126.760563,8.875000,0.007271
1127.395716,8.870000,0.007959
1128.031585,8.865000,0.008753
1128.668172,8.860000,0.009650
1129.305477,8.855000,0.010645
1129.943503,8.850000,0.011744
1130.582250,8.845000,0.012962
1131.221719,8.840000,0.014331
1131.861913,8.835000,0.015889
1132.502831,8.830000,0.017682
1133.144476,8.825000,0.019754
1133.786848,8.820000,0.022152
1134.429949,8.815000,0.024920
1135.073780,8.810000,0.028107
1135.718342,8.805000,0.031770
1136.363636,8.800000,0.035983
1137.009665,8.795000,0.040840
1137.656428,8.790000,0.046456
