wn,wl,T
901.154198,11.096880,0.001094
901.856381,11.088240,0.001065
902.560474,11.079590,0.000965
903.264851,11.070950,0.000795
903.971145,11.062300,0.000577
904.677727,11.053660,0.000351
905.386233,11.045010,0.000133
906.095029,11.036370,-0.000050
906.804936,11.027730,-0.000181
907.516780,11.019080,-0.000247
908.228917,11.010440,-0.000241
908.942999,11.001790,-0.000164
909.657378,10.993150,-0.000026
910.373708,10.984500,0.000154
911.090338,10.975860,0.000350
911.808929,10.967210,0.000532
912.527821,10.958570,0.000672
913.248681,10.949920,0.000753
913.969846,10.941280,0.000773
914.692151,10.932640,0.000750
915.416437,10.923990,0.000711
916.141031,10.915350,0.000692
916.867613,10.906700,0.000725
917.594508,10.898060,0.000828
918.323399,10.889410,0.001003
919.052604,10.880770,0.001232
919.783814,10.872120,0.001483
920.515341,10.863480,0.001721
921.248882,10.854830,0.001914
921.982742,10.846190,0.002045
922.717773,10.837550,0.002110
923.454829,10.828900,0.002123
924.192210,10.820260,0.002104
924.931624,10.811610,0.002078
925.671366,10.802970,0.002065
926.413151,10.794320,0.002078
927.155265,10.785680,0.002123
927.899431,10.777030,0.002199
928.643929,10.768390,0.002306
929.389623,10.759750,0.002440
930.137381,10.751100,0.002601
930.885477,10.742460,0.002790
931.635645,10.733810,0.003007
932.386153,10.725170,0.003253
933.138743,10.716520,0.003523
933.891676,10.707880,0.003812
934.646699,10.699230,0.004113
935.402069,10.690590,0.004417
936.159537,10.681940,0.004719
936.917355,10.673300,0.005017
937.676400,10.664660,0.005318
938.437558,10.656010,0.005636
939.199070,10.647370,0.005991
939.962702,10.638720,0.006404
940.726693,10.630080,0.006893
941.492812,10.621430,0.007475
942.259293,10.612790,0.008155
943.027912,10.604140,0.008939
943.796895,10.595500,0.009829
944.567133,10.586860,0.010828
945.339523,10.578210,0.011944
946.112283,10.569570,0.013189
946.887203,10.560920,0.014581
947.662496,10.552280,0.016146
948.439959,10.543630,0.017913
949.217797,10.534990,0.019918
949.997815,10.526340,0.022200
950.778212,10.517700,0.024801
951.560798,10.509050,0.027773
952.343766,10.500410,0.031179
953.128023,10.491770,0.035097
953.914483,10.483120,0.039627
954.701331,10.474480,0.044889
955.490391,10.465830,0.051022
956.279842,10.457190,0.058191
957.071514,10.448540,0.066587
957.863581,10.439900,0.076437
958.657879,10.431250,0.088011
959.452575,10.422610,0.101619
960.248589,10.413970,0.117617
961.046849,10.405320,0.136392
961.845512,10.396680,0.158356
962.646431,10.388030,0.183931
963.447756,10.379390,0.213519
964.251346,10.370740,0.247461
965.055346,10.362100,0.285980
965.861621,10.353450,0.329101
966.668310,10.344810,0.376573
967.477284,10.336160,0.427807
968.286675,10.327520,0.481846
969.097421,10.318880,0.537381
969.910468,10.310230,0.592834
970.723937,10.301590,0.646484
971.539716,10.292940,0.696633
972.355921,10.284300,0.741790
973.174446,10.275650,0.780820
973.993402,10.267010,0.813061
974.814688,10.258360,0.838357
975.636408,10.249720,0.857031
976.460468,10.241070,0.869788
977.284966,10.232430,0.877590
978.110857,10.223790,0.881514
978.939104,10.215140,0.882625
979.767795,10.206500,0.881892
980.598852,10.197850,0.880132
981.430356,10.189210,0.877991
982.264237,10.180560,0.875952
983.098569,10.171920,0.874358
983.935289,10.163270,0.873429
984.772463,10.154630,0.873282
985.611064,10.145990,0.873943
986.452067,10.137340,0.875360
987.293532,10.128700,0.877412
988.137410,10.120050,0.879930
988.981754,10.111410,0.882716
989.828522,10.102760,0.885574
990.675760,10.094120,0.888320
991.525432,10.085470,0.890798
992.375578,10.076830,0.892887
993.228170,10.068180,0.894497
994.081240,10.059540,0.895580
994.935777,10.050900,0.896126
995.792776,10.042250,0.896178
996.650258,10.033610,0.895824
997.510215,10.024960,0.895190
998.370659,10.016320,0.894432
999.233588,10.007670,0.893713
1000.097009,9.999030,0.893195
1000.962926,9.990380,0.893021
1001.829340,9.981740,0.893303
1002.697256,9.973100,0.894096
1003.567683,9.964450,0.895366
1004.438614,9.955810,0.896945
1005.312069,9.947160,0.898496
1006.186032,9.938520,0.899477
1007.062530,9.929870,0.899131
1007.939540,9.921230,0.896503
1008.819097,9.912580,0.890481
1009.699170,9.903940,0.879869
1010.581802,9.895290,0.863503
1011.464955,9.886650,0.840383
1012.349653,9.878010,0.809837
1013.236927,9.869360,0.771661
1014.124729,9.860720,0.726230
1015.015119,9.852070,0.674526
1015.906041,9.843430,0.618068
1016.799562,9.834780,0.558758
1017.693621,9.826140,0.498659
1018.590291,9.817490,0.439756
1019.487504,9.808850,0.383751
1020.386298,9.800210,0.331932
1021.287721,9.791560,0.285116
1022.189694,9.782920,0.243671
1023.094308,9.774270,0.207592
1023.999476,9.765630,0.176596
1024.907297,9.756980,0.150227
1025.815677,9.748340,0.127940
1026.726723,9.739690,0.109171
1027.638333,9.731050,0.093383
1028.552621,9.722400,0.080095
1029.467477,9.713760,0.068893
1030.383962,9.705120,0.059424
1031.303144,9.696470,0.051397
1032.222902,9.687830,0.044573
1033.145370,9.679180,0.038763
1034.068418,9.670540,0.033821
1034.994189,9.661890,0.029632
1035.920545,9.653250,0.026103
1036.849636,9.644600,0.023138
1037.779318,9.635960,0.020638
1038.711748,9.627310,0.018491
1039.644774,9.618670,0.016593
1040.579478,9.610030,0.014863
1041.516949,9.601380,0.013256
1042.455023,9.592740,0.011773
1043.395878,9.584090,0.010444
1044.337342,9.575450,0.009306
1045.281599,9.566800,0.008377
1046.226470,9.558160,0.007639
1047.174148,9.549510,0.007036
1048.122446,9.540870,0.006495
1049.072463,9.532230,0.005950
1050.025306,9.523580,0.005374
1050.978777,9.514940,0.004784
1051.935087,9.506290,0.004234
1052.892031,9.497650,0.003788
1053.851828,9.489000,0.003484
1054.812265,9.480360,0.003312
1055.775567,9.471710,0.003217
1056.739515,9.463070,0.003118
1057.706343,9.454420,0.002948
1058.673820,9.445780,0.002679
1059.643070,9.437140,0.002338
1060.615220,9.428490,0.001985
1061.588030,9.419850,0.001695
