wn,wl,T
735.955395,13.587780,-0.000593
736.811082,13.572000,-0.000395
737.668760,13.556220,-0.000142
738.527892,13.540450,0.000134
739.389575,13.524670,0.000373
740.252722,13.508900,0.000528
741.118437,13.493120,0.000568
741.986178,13.477340,0.000501
742.855402,13.461570,0.000375
743.727219,13.445790,0.000246
744.600529,13.430020,0.000165
745.476449,13.414240,0.000164
746.354432,13.398460,0.000262
747.233927,13.382690,0.000457
748.116057,13.366910,0.000720
748.999711,13.351140,0.000993
749.886017,13.335360,0.001213
750.774424,13.319580,0.001354
751.664373,13.303810,0.001439
752.557001,13.288030,0.001521
753.451183,13.272260,0.001649
754.348062,13.256480,0.001852
755.247079,13.240700,0.002144
756.147670,13.224930,0.002542
757.050984,13.209150,0.003061
757.955884,13.193380,0.003691
758.863526,13.177600,0.004389
759.773344,13.161820,0.005116
760.684768,13.146050,0.005900
761.598962,13.130270,0.006844
762.514774,13.114500,0.008094
763.433374,13.098720,0.009779
764.354190,13.082940,0.011984
765.276644,13.067170,0.014764
766.201914,13.051390,0.018202
767.128836,13.035620,0.022465
768.058594,13.019840,0.027851
768.990608,13.004060,0.034828
769.924293,12.988290,0.044043
770.860843,12.972510,0.056312
771.799079,12.956740,0.072615
772.740199,12.940960,0.094126
773.683616,12.925180,0.122263
774.628740,12.909410,0.158657
775.576777,12.893630,0.204909
776.526535,12.877860,0.262122
777.479226,12.862080,0.330292
778.434257,12.846300,0.407774
779.391031,12.830530,0.491096
780.350768,12.814750,0.575283
781.312261,12.798980,0.654730
782.276738,12.783200,0.724399
783.243600,12.767420,0.780912
784.212239,12.751650,0.823134
785.183894,12.735870,0.852064
786.157342,12.720100,0.870160
787.133825,12.704320,0.880425
788.112738,12.688540,0.885615
789.093466,12.672770,0.887805
790.077262,12.656990,0.888332
791.062888,12.641220,0.887959
792.051604,12.625440,0.887094
793.042794,12.609660,0.885963
794.035838,12.593890,0.884710
795.032004,12.578110,0.883414
796.030039,12.562340,0.882046
797.031218,12.546560,0.880348
798.034919,12.530780,0.877623
799.040512,12.515010,0.872468
800.049283,12.499230,0.862565
801.059963,12.483460,0.844720
802.073842,12.467680,0.815353
803.090291,12.451900,0.771456
804.108674,12.436130,0.711777
805.130290,12.420350,0.637715
806.153856,12.404580,0.553413
807.180679,12.388800,0.464905
808.210122,12.373020,0.378675
809.241538,12.357250,0.300194
810.276247,12.341470,0.232948
811.312948,12.325700,0.178188
812.352964,12.309920,0.135335
813.395650,12.294140,0.102710
814.440353,12.278370,0.078248
815.488408,12.262590,0.060007
816.538497,12.246820,0.046414
817.591963,12.231040,0.036270
818.648150,12.215260,0.028635
819.706398,12.199490,0.022746
820.768058,12.183710,0.018058
821.831797,12.167940,0.014296
822.898974,12.152160,0.011388
823.968926,12.136380,0.009253
825.040984,12.120610,0.007673
826.116517,12.104830,0.006392
827.194174,12.089060,0.005296
828.275332,12.073280,0.004431
829.359320,12.057500,0.003840
830.445459,12.041730,0.003429
831.535139,12.025950,0.003039
832.626988,12.010180,0.002609
833.722404,11.994400,0.002197
834.820706,11.978620,0.001863
835.921206,11.962850,0.001577
837.025312,11.947070,0.001300
838.131637,11.931300,0.001083
839.241594,11.915520,0.001027
840.354495,11.899740,0.001136
841.469644,11.883970,0.001254
842.588465,11.868190,0.001216
843.709555,11.852420,0.001024
844.834345,11.836640,0.000827
845.962138,11.820860,0.000742
847.092229,11.805090,0.000757
848.226062,11.789310,0.000791
849.362214,11.773540,0.000792
850.502136,11.757760,0.000753
851.645123,11.741980,0.000692
852.790458,11.726210,0.000642
853.939608,11.710430,0.000633
855.091127,11.694660,0.000649
856.246489,11.678880,0.000639
857.404978,11.663100,0.000586
858.565869,11.647330,0.000531
859.730646,11.631550,0.000494
860.897848,11.615780,0.000418
862.068966,11.600000,0.000253
