wn,wl,T
862.978068,11.587780,0.000538
864.154857,11.572000,0.000684
865.334859,11.556220,0.000823
866.517337,11.540450,0.000890
867.703804,11.524670,0.000829
868.892770,11.508900,0.000649
870.085756,11.493120,0.000472
871.282022,11.477340,0.000486
872.480821,11.461570,0.000698
873.683686,11.445790,0.000895
874.889108,11.430020,0.000832
876.098628,11.414240,0.000451
877.311496,11.398460,0.000058
878.526956,11.382690,0.000087
879.746563,11.366910,0.000488
880.968784,11.351140,0.000896
882.195184,11.335360,0.001061
883.425003,11.319580,0.000970
884.657474,11.303810,0.000810
885.894173,11.288030,0.000794
887.133547,11.272260,0.001031
888.377184,11.256480,0.001445
889.624312,11.240700,0.001841
890.874152,11.224930,0.002127
892.128306,11.209150,0.002389
893.385197,11.193380,0.002760
894.646436,11.177600,0.003279
895.911240,11.161820,0.003869
897.178821,11.146050,0.004469
898.450801,11.130270,0.005104
899.725584,11.114500,0.005821
901.004801,11.098720,0.006666
902.287660,11.082940,0.007705
903.573362,11.067170,0.009025
904.863551,11.051390,0.010708
906.156609,11.035620,0.012834
907.454192,11.019840,0.015499
908.755496,11.004060,0.018868
910.059709,10.988290,0.023223
911.368502,10.972510,0.028952
912.680232,10.956740,0.036496
913.996578,10.940960,0.046412
915.316727,10.925180,0.059492
916.639855,10.909410,0.076906
917.967656,10.893630,0.100276
919.298465,10.877860,0.131787
920.633985,10.862080,0.174123
921.973392,10.846300,0.230092
923.315849,10.830530,0.301834
924.663076,10.814750,0.389713
926.013383,10.798980,0.491041
927.368499,10.783200,0.599111
928.727587,10.767420,0.703636
930.089800,10.751650,0.793463
931.456882,10.735870,0.860586
932.827119,10.720100,0.902897
934.202266,10.704320,0.923900
935.581473,10.688540,0.930159
936.963881,10.672770,0.928415
938.351261,10.656990,0.923950
939.741872,10.641220,0.920129
941.137496,10.625440,0.918595
942.537273,10.609660,0.919599
943.940328,10.593890,0.922629
945.348460,10.578110,0.926885
946.759904,10.562340,0.931356
948.176467,10.546560,0.934971
949.597276,10.530780,0.937155
951.021445,10.515010,0.938048
952.450799,10.499230,0.937996
953.883546,10.483460,0.937145
955.321523,10.467680,0.935395
956.763842,10.451900,0.932179
958.209605,10.436130,0.925944
959.660664,10.420350,0.913879
961.115201,10.404580,0.891720
962.575081,10.388800,0.854070
964.039402,10.373020,0.796238
965.507253,10.357250,0.717190
966.980516,10.341470,0.621172
968.457344,10.325700,0.516753
969.939631,10.309920,0.414080
971.426462,10.294140,0.321705
972.916912,10.278370,0.244485
974.412892,10.262590,0.183429
975.912527,10.246820,0.136940
977.417741,10.231040,0.102312
978.927604,10.215260,0.076827
980.441179,10.199490,0.058155
981.960405,10.183710,0.044449
983.483380,10.167940,0.034323
985.012057,10.152160,0.026829
986.545493,10.136380,0.021265
988.082734,10.120610,0.017046
989.625753,10.104830,0.013713
991.172617,10.089060,0.010997
992.725309,10.073280,0.008842
994.282873,10.057500,0.007261
995.844342,10.041730,0.006131
997.411717,10.025950,0.005199
998.983035,10.010180,0.004315
1000.560314,9.994400,0.003559
1002.142581,9.978620,0.003038
1003.728853,9.962850,0.002622
1005.321165,9.947070,0.002155
1006.917523,9.931300,0.001799
1008.519977,9.915520,0.001741
1010.127539,9.899740,0.001763
1011.739210,9.883970,0.001607
1013.357059,9.868190,0.001381
1014.979061,9.852420,0.001243
1016.607297,9.836640,0.001131
1018.240765,9.820860,0.000987
1019.878451,9.805090,0.000820
1021.522457,9.789310,0.000574
1023.170724,9.773540,0.000298
1024.825370,9.757760,0.000200
1026.485376,9.741980,0.000275
1028.149711,9.726210,0.000292
1029.820513,9.710430,0.000193
1031.495689,9.694660,0.000134
1033.177392,9.678880,0.000196
1034.864588,9.663100,0.000300
1036.556229,9.647330,0.000343
1038.254487,9.631550,0.000279
1039.957237,9.615780,0.000076
1041.666667,9.600000,-0.000154
