wn,wl,T
794.421256,12.587780,0.000399
795.418390,12.572000,0.000659
796.418030,12.556220,0.000874
797.419550,12.540450,0.000998
798.424230,12.524670,0.001049
799.430805,12.508900,0.001100
800.440562,12.493120,0.001141
801.452874,12.477340,0.001180
802.467105,12.461570,0.001208
803.484552,12.445790,0.001199
804.503935,12.430020,0.001156
805.526557,12.414240,0.001104
806.551781,12.398460,0.001092
807.578967,12.382690,0.001177
808.609426,12.366910,0.001392
809.641863,12.351140,0.001726
810.677597,12.335360,0.002116
811.715984,12.319580,0.002478
812.756374,12.303810,0.002738
813.800097,12.288030,0.002877
814.845839,12.272260,0.002939
815.894939,12.256480,0.003017
816.946743,12.240700,0.003216
818.000594,12.224930,0.003608
819.057838,12.209150,0.004214
820.117146,12.193380,0.005009
821.179871,12.177600,0.005951
822.245355,12.161820,0.007019
823.312929,12.146050,0.008237
824.383958,12.130270,0.009682
825.457097,12.114500,0.011467
826.533716,12.098720,0.013722
827.613147,12.082940,0.016583
828.694715,12.067170,0.020195
829.779801,12.051390,0.024746
830.867043,12.035620,0.030497
831.957830,12.019840,0.037832
833.051484,12.004060,0.047314
834.147322,11.988290,0.059741
835.246744,11.972510,0.076226
836.348369,11.956740,0.098232
837.453605,11.940960,0.127547
838.561766,11.925180,0.166088
839.672158,11.909410,0.215499
840.786202,11.893630,0.276556
841.902498,11.877860,0.348547
843.022472,11.862080,0.428861
844.145429,11.846300,0.513031
845.270668,11.830530,0.595354
846.399628,11.814750,0.669976
847.530888,11.798980,0.732134
848.665897,11.783200,0.779133
849.803950,11.767420,0.810747
850.944335,11.751650,0.828940
852.088512,11.735870,0.837076
853.235041,11.720100,0.838936
854.385389,11.704320,0.837871
855.538844,11.688540,0.836303
856.694683,11.672770,0.835597
857.854386,11.656990,0.836220
859.016495,11.641220,0.838035
860.182496,11.625440,0.840590
861.351667,11.609660,0.843358
862.523277,11.593890,0.845882
863.698825,11.578110,0.847863
864.876833,11.562340,0.849188
866.058809,11.546560,0.849917
867.244020,11.530780,0.850211
868.431725,11.515010,0.850181
869.623444,11.499230,0.849641
870.817680,11.483460,0.847806
872.015961,11.467680,0.843033
873.217545,11.451900,0.832772
874.421679,11.436130,0.813847
875.629906,11.420350,0.783107
876.840708,11.404580,0.738324
878.055634,11.388800,0.679054
879.273931,11.373020,0.607113
880.494838,11.357250,0.526462
881.719918,11.341470,0.442469
882.947632,11.325700,0.360809
884.179552,11.309920,0.286332
885.414914,11.294140,0.222256
886.652947,11.278370,0.169895
887.895235,11.262590,0.128898
889.140219,11.246820,0.097793
890.389492,11.231040,0.074620
891.642280,11.215260,0.057431
892.897802,11.199490,0.044595
894.157663,11.183710,0.034896
895.420283,11.167940,0.027492
896.687279,11.152160,0.021816
897.957864,11.136380,0.017479
899.231247,11.120610,0.014190
900.509058,11.104830,0.011707
901.789692,11.089060,0.009818
903.074789,11.073280,0.008344
904.363554,11.057500,0.007148
905.655183,11.041730,0.006141
906.951328,11.025950,0.005282
908.250365,11.010180,0.004554
909.553955,10.994400,0.003947
910.861292,10.978620,0.003443
912.171561,10.962850,0.003011
913.486440,10.947070,0.002620
914.804278,10.931300,0.002252
916.126763,10.915520,0.001909
917.453077,10.899740,0.001602
918.782393,10.883970,0.001348
920.116413,10.868190,0.001158
921.453464,10.852420,0.001024
922.795258,10.836640,0.000923
924.140965,10.820860,0.000828
925.489746,10.805090,0.000731
926.843329,10.789310,0.000643
928.200016,10.773540,0.000581
929.561544,10.757760,0.000556
930.927073,10.741980,0.000567
932.295750,10.726210,0.000596
933.669330,10.710430,0.000608
935.046088,10.694660,0.000560
936.427790,10.678880,0.000451
937.813581,10.663100,0.000301
939.202598,10.647330,0.000102
940.596620,10.631550,-0.000004
941.993900,10.615780,-0.000067
943.396226,10.600000,-0.000057
