wn,wl,T
1127.904354,8.866000,0.000538
1128.413451,8.862000,0.000546
1128.923007,8.858000,0.000551
1129.433025,8.854000,0.000553
1129.943503,8.850000,0.000561
1130.454443,8.846000,0.000566
1130.965845,8.842000,0.000571
1131.477710,8.838000,0.000576
1131.990038,8.834000,0.000579
1132.502831,8.830000,0.000582
1133.016089,8.826000,0.000584
1133.529812,8.822000,0.000586
1134.044001,8.818000,0.000589
1134.558657,8.814000,0.000595
1135.073780,8.810000,0.000605
1135.589371,8.806000,0.000620
1136.105431,8.802000,0.000643
1136.621960,8.798000,0.000674
1137.138958,8.794000,0.000715
1137.656428,8.790000,0.000767
1138.174368,8.786000,0.000829
1138.692781,8.782000,0.000901
1139.211666,8.778000,0.000982
1139.731023,8.774000,0.001071
1140.250855,8.770000,0.001165
1140.771161,8.766000,0.001262
1141.291942,8.762000,0.001361
1141.813199,8.758000,0.001461
1142.334933,8.754000,0.001561
1142.857143,8.750000,0.001664
1143.379831,8.746000,0.001772
1143.902997,8.742000,0.001887
1144.426642,8.738000,0.002013
1144.950767,8.734000,0.002153
1145.475372,8.730000,0.002309
1146.000458,8.726000,0.002481
1146.526026,8.722000,0.002669
1147.052076,8.718000,0.002872
1147.578609,8.714000,0.003087
1148.105626,8.710000,0.003313
1148.633127,8.706000,0.003550
1149.161112,8.702000,0.003796
1149.689584,8.698000,0.004054
1150.218542,8.694000,0.004326
1150.747986,8.690000,0.004613
1151.277918,8.686000,0.004917
1151.808339,8.682000,0.005241
1152.339249,8.678000,0.005586
1152.870648,8.674000,0.005951
1153.402537,8.670000,0.006338
1153.934918,8.666000,0.006746
1154.467790,8.662000,0.007178
1155.001155,8.658000,0.007638
1155.535013,8.654000,0.008131
1156.069364,8.650000,0.008666
1156.604210,8.646000,0.009254
1157.139551,8.642000,0.009905
1157.675388,8.638000,0.010632
1158.211721,8.634000,0.011447
1158.748552,8.630000,0.012361
1159.285880,8.626000,0.013386
1159.823707,8.622000,0.014530
1160.362033,8.618000,0.015804
1160.900859,8.614000,0.017217
1161.440186,8.610000,0.018781
1161.980014,8.606000,0.020509
1162.520344,8.602000,0.022420
1163.061177,8.598000,0.024532
1163.602513,8.594000,0.026870
1164.144354,8.590000,0.029464
1164.686699,8.586000,0.032346
1165.229550,8.582000,0.035555
1165.772907,8.578000,0.039136
1166.316772,8.574000,0.043139
1166.861144,8.570000,0.047621
1167.406024,8.566000,0.052648
1167.951413,8.562000,0.058295
1168.497312,8.558000,0.064647
1169.043722,8.554000,0.071798
1169.590643,8.550000,0.079858
1170.138076,8.546000,0.088949
1170.686022,8.542000,0.099207
1171.234481,8.538000,0.110780
1171.783454,8.534000,0.123833
1172.332943,8.530000,0.138537
1172.882946,8.526000,0.155073
1173.433466,8.522000,0.173621
1173.984503,8.518000,0.194354
1174.536058,8.514000,0.217430
1175.088132,8.510000,0.242976
1175.640724,8.506000,0.271077
1176.193837,8.502000,0.301765
1176.747470,8.498000,0.334995
1177.301625,8.494000,0.370640
1177.856302,8.490000,0.408474
1178.411501,8.486000,0.448167
1178.967225,8.482000,0.489285
1179.523473,8.478000,0.531297
1180.080245,8.474000,0.573593
1180.637544,8.470000,0.615509
1181.195370,8.466000,0.656359
1181.753723,8.462000,0.695472
1182.312603,8.458000,0.732229
1182.872013,8.454000,0.766096
1183.431953,8.450000,0.796655
1183.992422,8.446000,0.823619
1184.553423,8.442000,0.846843
1185.114956,8.438000,0.866321
1185.677022,8.434000,0.882175
1186.239620,8.430000,0.894633
1186.802753,8.426000,0.904008
1187.366421,8.422000,0.910672
1187.930625,8.418000,0.915031
1188.495365,8.414000,0.917495
1189.060642,8.410000,0.918469
1189.626457,8.406000,0.918327
1190.192811,8.402000,0.917407
1190.759705,8.398000,0.915998
1191.327138,8.394000,0.914345
1191.895113,8.390000,0.912641
1192.463630,8.386000,0.911034
1193.032689,8.382000,0.909629
1193.602292,8.378000,0.908497
1194.172439,8.374000,0.907673
1194.743130,8.370000,0.907170
1195.314368,8.366000,0.906975
1195.886152,8.362000,0.907061
1196.458483,8.358000,0.907386
1197.031362,8.354000,0.907900
1197.604790,8.350000,0.908545
1198.178768,8.346000,0.909263
1198.753297,8.342000,0.909995
1199.328376,8.338000,0.910689
1199.904008,8.334000,0.911299
1200.480192,8.330000,0.911790
