wn,wl,T
1064.962726,9.390000,0.000442
1065.416578,9.386000,0.000407
1065.870816,9.382000,0.000368
1066.325443,9.378000,0.000326
1066.780457,9.374000,0.000297
1067.235859,9.370000,0.000271
1067.691651,9.366000,0.000253
1068.147832,9.362000,0.000244
1068.604403,9.358000,0.000242
1069.061364,9.354000,0.000247
1069.518717,9.350000,0.000259
1069.976461,9.346000,0.000274
1070.434596,9.342000,0.000291
1070.893125,9.338000,0.000309
1071.352046,9.334000,0.000327
1071.811361,9.330000,0.000343
1072.271070,9.326000,0.000359
1072.731174,9.322000,0.000374
1073.191672,9.318000,0.000390
1073.652566,9.314000,0.000407
1074.113856,9.310000,0.000425
1074.575543,9.306000,0.000444
1075.037626,9.302000,0.000465
1075.500108,9.298000,0.000487
1075.962987,9.294000,0.000509
1076.426265,9.290000,0.000531
1076.889942,9.286000,0.000552
1077.354019,9.282000,0.000571
1077.818495,9.278000,0.000589
1078.283373,9.274000,0.000605
1078.748652,9.270000,0.000618
1079.214332,9.266000,0.000628
1079.680415,9.262000,0.000636
1080.146900,9.258000,0.000642
1080.613789,9.254000,0.000647
1081.081081,9.250000,0.000653
1081.548778,9.246000,0.000661
1082.016879,9.242000,0.000675
1082.485386,9.238000,0.000697
1082.954299,9.234000,0.000730
1083.423619,9.230000,0.000775
1083.893345,9.226000,0.000833
1084.363479,9.222000,0.000904
1084.834020,9.218000,0.000989
1085.304971,9.214000,0.001085
1085.776330,9.210000,0.001190
1086.248099,9.206000,0.001302
1086.720278,9.202000,0.001420
1087.192868,9.198000,0.001543
1087.665869,9.194000,0.001669
1088.139282,9.190000,0.001800
1088.613107,9.186000,0.001936
1089.087345,9.182000,0.002077
1089.561996,9.178000,0.002224
1090.037061,9.174000,0.002378
1090.512541,9.170000,0.002539
1090.988436,9.166000,0.002707
1091.464746,9.162000,0.002881
1091.941472,9.158000,0.003062
1092.418615,9.154000,0.003251
1092.896175,9.150000,0.003449
1093.374153,9.146000,0.003659
1093.852549,9.142000,0.003882
1094.331364,9.138000,0.004124
1094.810598,9.134000,0.004387
1095.290252,9.130000,0.004677
1095.770327,9.126000,0.004997
1096.250822,9.122000,0.005351
1096.731739,9.118000,0.005741
1097.213079,9.114000,0.006170
