wn,wl,T
943.673987,10.596880,0.000268
944.444025,10.588240,0.000480
945.216213,10.579590,0.000690
945.988771,10.570950,0.000850
946.763489,10.562300,0.000928
947.538579,10.553660,0.000933
948.315838,10.545010,0.000907
949.093473,10.536370,0.000886
949.872385,10.527730,0.000876
950.653479,10.519080,0.000871
951.434954,10.510440,0.000859
952.218622,10.501790,0.000830
953.002673,10.493150,0.000790
953.788927,10.484500,0.000759
954.575567,10.475860,0.000761
955.364419,10.467210,0.000819
956.153662,10.458570,0.000942
956.945125,10.449920,0.001110
957.736982,10.441280,0.001268
958.530152,10.432640,0.001352
959.325556,10.423990,0.001331
960.121359,10.415350,0.001214
960.919408,10.406700,0.001052
961.717859,10.398060,0.000922
962.518565,10.389410,0.000882
963.319677,10.380770,0.000936
964.123053,10.372120,0.001047
964.926839,10.363480,0.001171
965.732900,10.354830,0.001274
966.539373,10.346190,0.001352
967.347195,10.337550,0.001430
968.157306,10.328900,0.001541
968.967836,10.320260,0.001699
969.780665,10.311610,0.001900
970.593916,10.302970,0.002123
971.409476,10.294320,0.002342
972.225463,10.285680,0.002529
973.043768,10.277030,0.002662
973.862504,10.268390,0.002734
974.682619,10.259750,0.002763
975.505068,10.251100,0.002781
976.327952,10.242460,0.002823
977.153181,10.233810,0.002909
977.978850,10.225170,0.003042
978.806874,10.216520,0.003206
979.635341,10.207880,0.003383
980.466172,10.199230,0.003579
981.297452,10.190590,0.003817
982.131107,10.181940,0.004127
982.965213,10.173300,0.004532
983.800737,10.164660,0.005037
984.638652,10.156010,0.005626
985.477025,10.147370,0.006256
986.317799,10.138720,0.006869
987.159035,10.130080,0.007417
988.002683,10.121430,0.007899
988.846797,10.112790,0.008355
989.693334,10.104140,0.008854
990.540340,10.095500,0.009457
991.388797,10.086860,0.010207
992.239693,10.078210,0.011135
993.091065,10.069570,0.012266
993.944888,10.060920,0.013611
994.799190,10.052280,0.015125
995.655953,10.043630,0.016708
996.513200,10.034990,0.018292
997.372920,10.026340,0.019928
998.233127,10.017700,0.021805
999.095818,10.009050,0.024148
999.959002,10.000410,0.027076
1000.823678,9.991770,0.030515
1001.690854,9.983120,0.034259
1002.558529,9.974480,0.038145
1003.428716,9.965830,0.042216
1004.299406,9.957190,0.046727
1005.172618,9.948540,0.051973
1006.046338,9.939900,0.058168
1006.922593,9.931250,0.065429
1007.799359,9.922610,0.073844
1008.677654,9.913970,0.083527
1009.558500,9.905320,0.094637
1010.439865,9.896680,0.107372
1011.323793,9.888030,0.121974
1012.208244,9.879390,0.138746
1013.095269,9.870740,0.158048
1013.982823,9.862100,0.180239
1014.872963,9.853450,0.205614
1015.763636,9.844810,0.234374
1016.656907,9.836160,0.266646
1017.550715,9.827520,0.302498
1018.446096,9.818880,0.341894
1019.344093,9.810230,0.384616
1020.242634,9.801590,0.430211
1021.143804,9.792940,0.477984
1022.045522,9.784300,0.527038
1022.949881,9.775650,0.576336
1023.854793,9.767010,0.624772
1024.762358,9.758360,0.671241
1025.670481,9.749720,0.714703
1026.581269,9.741070,0.754236
1027.492620,9.732430,0.789088
1028.405591,9.723790,0.818755
1029.321245,9.715140,0.843067
1030.237470,9.706500,0.862238
1031.156390,9.697850,0.876806
1032.075886,9.689210,0.887464
1032.998091,9.680560,0.894880
1033.920876,9.671920,0.899617
1034.846382,9.663270,0.902195
1035.772474,9.654630,0.903165
