wn,wl,T
625.0000,16.000,0.0312
628.9308,15.900,0.0448
632.9114,15.800,0.0524
636.9427,15.700,0.0524
641.0256,15.600,0.0524
645.1613,15.500,0.0539
649.3506,15.400,0.0549
653.5948,15.300,0.0604
657.8947,15.200,0.0673
662.2517,15.100,0.0728
666.6667,15.000,0.0801
671.1409,14.900,0.0867
675.6757,14.800,0.0944
680.2721,14.700,0.1008
684.9315,14.600,0.1105
689.6552,14.500,0.1211
694.4444,14.400,0.1460
699.3007,14.300,0.1691
704.2254,14.200,0.1945
709.2199,14.100,0.2126
714.2857,14.000,0.2236
719.4245,13.900,0.2345
724.6377,13.800,0.2469
729.9270,13.700,0.2593
735.2941,13.600,0.2735
740.7407,13.500,0.2912
746.2687,13.400,0.3265
751.8797,13.300,0.3584
757.5758,13.200,0.3964
763.3588,13.100,0.4304
769.2308,13.000,0.4677
775.1938,12.900,0.5027
781.2500,12.800,0.5362
787.4016,12.700,0.5689
793.6508,12.600,0.5987
800.0000,12.500,0.6329
806.4516,12.400,0.6526
813.0081,12.300,0.6613
819.6721,12.200,0.6728
826.4463,12.100,0.6938
833.3333,12.000,0.7223
840.3361,11.900,0.7367
847.4576,11.800,0.7449
854.7009,11.700,0.7588
862.0690,11.600,0.7680
869.5652,11.500,0.7750
877.1930,11.400,0.7840
884.9558,11.300,0.7934
892.8571,11.200,0.8052
900.9009,11.100,0.8235
909.0909,11.000,0.8460
917.4312,10.900,0.8739
925.9259,10.800,0.8982
934.5794,10.700,0.9157
943.3962,10.600,0.9237
952.3810,10.500,0.9220
961.5385,10.400,0.9192
970.8738,10.300,0.9234
980.3922,10.200,0.9329
990.0990,10.100,0.9502
1000.0000,10.000,0.9736
1010.1010,9.900,0.9909
1020.4082,9.800,0.9970
1030.9278,9.700,0.9970
1041.6667,9.600,0.9942
1052.6316,9.500,0.9713
1063.8298,9.400,0.9465
1075.2688,9.300,0.9162
1086.9565,9.200,0.8909
1098.9011,9.100,0.8648
1111.1111,9.000,0.8533
1123.5955,8.900,0.8640
1136.3636,8.800,0.8848
1149.4253,8.700,0.8972
1162.7907,8.600,0.9047
1176.4706,8.500,0.9130
1190.4762,8.400,0.9231
1204.8193,8.300,0.9326
1219.5122,8.200,0.9272
1234.5679,8.100,0.9176
1250.0000,8.000,0.9044
1265.8228,7.900,0.8401
1282.0513,7.800,0.6003
1298.7013,7.700,0.2799
1315.7895,7.600,0.1038
1333.3333,7.500,0.0385
1351.3514,7.400,0.0164
1369.8630,7.300,0.0000
